Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2017,II,Dimerandra emarginata,,Orchidales,Orchidaceae,Dimerandra,CZ,EC,,1,,live,,G,A
2017,II,Disa incarnata,,Orchidales,Orchidaceae,Disa,CZ,MG,,2,,live,,G,A
2017,II,Disperis similis,,Orchidales,Orchidaceae,Disperis,CZ,MG,,2,,live,,G,A
2017,II,Dracula spp.,,Orchidales,Orchidaceae,Dracula,CZ,EC,,1,,live,,G,A
2017,II,Dracula andreettae,,Orchidales,Orchidaceae,Dracula,CZ,EC,,2,,live,,G,A
2017,II,Dracula simia,,Orchidales,Orchidaceae,Dracula,CZ,EC,,1,,live,,G,A
2017,II,Dracula sodiroi,,Orchidales,Orchidaceae,Dracula,CZ,EC,,1,,live,,G,A
2017,II,Dresslerella hirsutissima,,Orchidales,Orchidaceae,Dresslerella,CZ,EC,,3,,live,,G,A
2017,II,Echinosepala shuarii,,Orchidales,Orchidaceae,Echinosepala,CZ,EC,,3,,live,,G,A
2017,II,Echinosepala uncinata,,Orchidales,Orchidaceae,Echinosepala,CZ,EC,,1,,live,,G,A
2017,II,Epidendrum escobarianum,,Orchidales,Orchidaceae,Epidendrum,CZ,EC,,1,,live,,G,A
2017,II,Epidendrum suavis,,Orchidales,Orchidaceae,Epidendrum,CZ,EC,,1,,live,,G,A
2017,II,Erasanthe henrici,,Orchidales,Orchidaceae,Erasanthe,CZ,MG,,2,,live,,G,A
